learning_rates,train_losses,valid_losses,train_accuracies,valid_accuracies
0.001,1.6125009091892792,1.6039358554407954,0.1590314136125654,0.1595052083333333
0.001,1.0011113956180542,1.0535420014057308,0.6194371727748691,0.5833333333333334
0.001,0.880546209621804,1.0010920206550509,0.6801374345549738,0.603515625
0.001,0.7961078050170893,0.9618495545970897,0.7113874345549738,0.6236979166666666
0.0002,0.7518145605258605,0.9697091203027716,0.7254581151832461,0.615234375
0.0002,0.6972463538587406,0.9688132451459144,0.7493455497382199,0.6204427083333334
0.0002,0.6696426147565792,0.934835307377701,0.7607984293193717,0.630859375
0.0002,0.6496361295902292,0.9404591462031628,0.762434554973822,0.6295572916666666
4e-05,0.6247172789618919,0.9319385264534504,0.7804319371727748,0.6373697916666666
4e-05,0.6230584423969553,0.9395358948968352,0.7830497382198953,0.62890625
4e-05,0.6113406513568931,0.9279716163873672,0.7856675392670157,0.6380208333333334
4e-05,0.6084281371916151,0.9304604056136062,0.7846858638743456,0.6295572916666666
8.000000000000001e-06,0.6342021283054851,0.9700026757394274,0.7841950261780105,0.6282552083333334
8.000000000000001e-06,0.6064614635253451,0.9316456075757742,0.7868128272251309,0.63671875
8.000000000000001e-06,0.6130835595711364,0.9482618516000608,0.7889397905759162,0.62890625
,0.6084979769642128,0.9530684120642642,0.7910667539267016,0.6373697916666666
